time	V(borne2)	V(vout)
7.315828622812677e-01	-3.066072e-04	1.007888e+00
7.364656747812677e-01	-6.592238e-04	1.007837e+00
7.413484872812677e-01	-9.863921e-04	1.007751e+00
7.462312997812677e-01	-1.288109e-03	1.007633e+00
7.511141122812677e-01	-1.564498e-03	1.007485e+00
7.559969247812677e-01	-1.815797e-03	1.007309e+00
7.608797372812677e-01	-2.042353e-03	1.007108e+00
7.657625497812677e-01	-2.244612e-03	1.006886e+00
7.706453622812677e-01	-2.423113e-03	1.006643e+00
7.804109872812677e-01	-2.711394e-03	1.006108e+00
7.901766122812677e-01	-2.913003e-03	1.005522e+00
7.950594247812677e-01	-2.983384e-03	1.005216e+00
7.999422372812677e-01	-3.034686e-03	1.004903e+00
8.048250497812677e-01	-3.067859e-03	1.004586e+00
8.097078622812677e-01	-3.083881e-03	1.004266e+00
8.145906747812677e-01	-3.083755e-03	1.003946e+00
8.194734872812677e-01	-3.068497e-03	1.003626e+00
8.243562997812677e-01	-3.039137e-03	1.003309e+00
8.292391122812677e-01	-2.996704e-03	1.002995e+00
8.341219247812677e-01	-2.942232e-03	1.002686e+00
8.390047372812677e-01	-2.876745e-03	1.002384e+00
8.438875497812677e-01	-2.801259e-03	1.002089e+00
8.487703622812677e-01	-2.716774e-03	1.001802e+00
8.585359872812677e-01	-2.524707e-03	1.001257e+00
8.683016122812677e-01	-2.308107e-03	1.000754e+00
8.780672372812677e-01	-2.074077e-03	1.000298e+00
8.878328622812677e-01	-1.829189e-03	9.998922e-01
8.975984872812677e-01	-1.579414e-03	9.995377e-01
9.073641122812677e-01	-1.330090e-03	9.992351e-01
9.220125497812677e-01	-9.670044e-04	9.988770e-01
9.366609872812677e-01	-6.282808e-04	9.986286e-01
9.513094247812677e-01	-3.235895e-04	9.984807e-01
9.610750497812677e-01	-1.427239e-04	9.984321e-01
9.708406747812677e-01	1.882003e-05	9.984192e-01
9.806062997812677e-01	1.603324e-04	9.984377e-01
9.903719247812677e-01	2.815700e-04	9.984835e-01
1.005020362281268e+00	4.258865e-04	9.985943e-01
1.019668799781268e+00	5.270988e-04	9.987433e-01
1.034317237281268e+00	5.886681e-04	9.989175e-01
1.048965674781268e+00	6.150795e-04	9.991053e-01
1.063614112281268e+00	6.114749e-04	9.992965e-01
1.078262549781268e+00	5.833240e-04	9.994828e-01
1.092910987281268e+00	5.361410e-04	9.996571e-01
1.107559424781268e+00	4.752483e-04	9.998144e-01
1.122207862281268e+00	4.055910e-04	9.999514e-01
1.133368576566982e+00	3.464996e-04	1.000040e+00
1.144529290852696e+00	2.897319e-04	1.000115e+00
1.155690005138410e+00	2.352879e-04	1.000178e+00
1.166850719424125e+00	1.831675e-04	1.000228e+00
1.178011433709839e+00	1.333709e-04	1.000266e+00
1.189172147995553e+00	8.589790e-05	1.000291e+00
1.200332862281268e+00	4.074859e-05	1.000304e+00
1.214981299781268e+00	-6.665506e-06	1.000302e+00
1.229629737281268e+00	-4.595196e-05	1.000293e+00
1.244278174781268e+00	-7.711076e-05	1.000276e+00
1.258926612281268e+00	-1.001419e-04	1.000253e+00
1.273575049781268e+00	-1.150454e-04	1.000223e+00
1.288223487281268e+00	-1.218213e-04	1.000186e+00
1.302871924781268e+00	-1.204695e-04	1.000141e+00
1.321008085495553e+00	-1.099268e-04	1.000093e+00
1.339144246209839e+00	-9.791896e-05	1.000051e+00
1.357280406924125e+00	-8.444610e-05	1.000016e+00
1.375416567638410e+00	-6.950820e-05	9.999866e-01
1.393552728352696e+00	-5.310525e-05	9.999636e-01
1.411688889066982e+00	-3.523725e-05	9.999469e-01
1.429825049781268e+00	-1.590421e-05	9.999364e-01
1.459121924781268e+00	1.643400e-06	9.999404e-01
1.488418799781268e+00	1.466921e-05	9.999461e-01
1.517715674781268e+00	2.317321e-05	9.999536e-01
1.547012549781268e+00	2.715541e-05	9.999628e-01
1.576309424781268e+00	2.661580e-05	9.999738e-01
1.605606299781268e+00	2.155440e-05	9.999865e-01
1.634903174781268e+00	1.197119e-05	1.000001e+00
1.691404290852696e+00	5.868446e-06	1.000000e+00
1.747905406924125e+00	1.353844e-06	9.999994e-01
1.804406522995553e+00	-1.572620e-06	9.999985e-01
1.860907639066982e+00	-2.910945e-06	9.999974e-01
1.917408755138411e+00	-2.661131e-06	9.999962e-01
1.973909871209839e+00	-8.231798e-07	9.999949e-01
2.030410987281268e+00	2.602910e-06	9.999935e-01
3.739395362281268e+00	1.637695e-06	9.999946e-01
4.999160987281268e+00	1.637708e-06	9.999946e-01
5.000000000000000e+00	1.637709e-06	9.999946e-01
