time	V(borne2)	V(vout)
1.868797241927111e+00	5.909693e-01	1.504377e+00
1.873680054427111e+00	5.648758e-01	1.564417e+00
1.878562866927111e+00	5.359206e-01	1.621597e+00
1.883445679427111e+00	5.042502e-01	1.675628e+00
1.888328491927111e+00	4.700253e-01	1.726236e+00
1.893211304427111e+00	4.334190e-01	1.773165e+00
1.898094116927111e+00	3.946170e-01	1.816177e+00
1.902976929427111e+00	3.538157e-01	1.855053e+00
1.907859741927111e+00	3.112220e-01	1.889598e+00
1.912742554427111e+00	2.670515e-01	1.919636e+00
1.917625366927111e+00	2.215281e-01	1.945015e+00
1.922508179427111e+00	1.748824e-01	1.965606e+00
1.927390991927111e+00	1.273507e-01	1.981305e+00
1.932273804427111e+00	7.917378e-02	1.992033e+00
1.937156616927111e+00	3.059578e-02	1.997735e+00
1.942039429427111e+00	-1.813721e-02	1.998381e+00
1.946922241927111e+00	-6.677831e-02	1.993970e+00
1.951805054427111e+00	-1.150811e-01	1.984523e+00
1.956687866927111e+00	-1.628008e-01	1.970089e+00
1.961570679427111e+00	-2.096958e-01	1.950739e+00
1.966453491927111e+00	-2.555284e-01	1.926573e+00
1.971336304427111e+00	-3.000664e-01	1.897713e+00
1.976219116927111e+00	-3.430841e-01	1.864305e+00
1.981101929427111e+00	-3.843638e-01	1.826517e+00
1.985984741927111e+00	-4.236961e-01	1.784543e+00
1.990867554427111e+00	-4.608819e-01	1.738594e+00
1.995750366927111e+00	-4.957328e-01	1.688902e+00
2.000633179427111e+00	-5.280721e-01	1.635721e+00
2.005515991927111e+00	-5.577361e-01	1.579319e+00
2.010398804427111e+00	-5.845745e-01	1.519982e+00
2.015281616927111e+00	-6.084512e-01	1.458011e+00
2.020164429427111e+00	-6.292454e-01	1.393719e+00
2.025047241927111e+00	-6.468517e-01	1.327432e+00
2.029930054427111e+00	-6.611809e-01	1.259487e+00
2.034812866927111e+00	-6.721604e-01	1.190227e+00
2.039695679427111e+00	-6.797345e-01	1.120003e+00
2.044578491927111e+00	-6.838650e-01	1.049172e+00
2.049461304427111e+00	-6.845307e-01	9.780908e-01
2.054344116927111e+00	-6.817285e-01	9.071208e-01
2.059226929427111e+00	-6.754725e-01	8.366215e-01
2.064109741927111e+00	-6.657944e-01	7.669499e-01
2.068992554427111e+00	-6.527432e-01	6.984589e-01
2.073875366927111e+00	-6.363850e-01	6.314955e-01
2.078758179427111e+00	-6.168028e-01	5.663991e-01
2.083640991927111e+00	-5.940956e-01	5.034994e-01
2.088523804427111e+00	-5.683787e-01	4.431151e-01
