time	V(vout)
8.656903896711850e+01	2.468855e+00
8.659068488777967e+01	4.218516e+00
8.661917723775009e+01	6.130499e+00
8.664894376075232e+01	7.485847e+00
8.666941020427626e+01	7.879405e+00
8.668779701115393e+01	7.749708e+00
8.670645543421747e+01	7.165395e+00
8.673086097629799e+01	5.847767e+00
8.675851803925190e+01	3.860427e+00
8.678149178788547e+01	1.967736e+00
8.679989849237741e+01	4.167396e-01
8.681782859088382e+01	-9.918089e-01
8.683590737369811e+01	-2.183755e+00
8.685914588717311e+01	-3.290706e+00
8.688032283217345e+01	-3.826180e+00
8.689900823478534e+01	-3.836071e+00
8.691817096799986e+01	-3.375706e+00
8.694030401432219e+01	-2.323039e+00
8.696756532875105e+01	-5.430612e-01
8.697538653679214e+01	6.034925e-02
8.698435758491782e+01	8.164573e-01
8.700000000100000e+01	2.165537e+00
8.700000000110001e+01	2.165537e+00
8.700000000130001e+01	2.165537e+00
8.700000000145289e+01	2.165537e+00
8.700000000160522e+01	2.165537e+00
8.700000000182897e+01	2.165537e+00
8.700000000200001e+01	2.165537e+00
8.700000000207956e+01	2.165537e+00
8.700000000218563e+01	2.165537e+00
8.700000000239766e+01	2.165537e+00
8.700000000282171e+01	2.165537e+00
8.700000000339931e+01	2.165537e+00
8.700000000416250e+01	2.165537e+00
8.700000000512722e+01	2.165537e+00
8.700000000641624e+01	2.165538e+00
8.700000000806111e+01	2.165540e+00
8.700000001003605e+01	2.165546e+00
8.700000001216486e+01	2.165560e+00
8.700000001438782e+01	2.165589e+00
8.700000001738830e+01	2.165652e+00
8.700000002052661e+01	2.165760e+00
8.700000002611181e+01	2.166053e+00
8.700000003268140e+01	2.166532e+00
8.700000004007613e+01	2.167215e+00
8.700000004749512e+01	2.167990e+00
8.700000005590947e+01	2.168885e+00
8.700000006494635e+01	2.169755e+00
8.700000007540172e+01	2.170538e+00
8.700000008586858e+01	2.171009e+00
8.700000009702553e+01	2.171123e+00
8.700000010897320e+01	2.170824e+00
8.700000012313743e+01	2.170020e+00
8.700000013833373e+01	2.168797e+00
